country,alpha_3_code,obs_value
Bangladesh,BGD,13.0
Brazil,BRA,1.002879
Central African Republic,CAF,24.15966
Chad,TCD,52.556648
Cuba,CUB,2.2340729
Dominican Republic,DOM,3.3613219
Ecuador,ECU,6.0
Guinea-Bissau,GNB,23.26907
Honduras,HND,28.97571
Kiribati,KIR,10.34616
Nepal,NPL,4.3248758
"Macedonia, the former Yugoslav Republic of",MKD,1.741748
Sao Tome and Principe,STP,6.4788709
Senegal,SEN,39.283192
Serbia,SRB,0.1906551
Thailand,THA,3.365458
Tonga,TON,10.73647
Turkmenistan,TKM,0.7565136
Zimbabwe,ZWE,19.1
